"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.332696950E-1,-1.010130119E1,-2.301506615E1,-8.813364029E0
8.357950080E-1,-1.073360443E1,-2.577010155E1,-1.243310642E1
8.383202680E-1,-9.718150139E0,-2.772473907E1,-1.384158134E1
8.408455800E-1,-7.744071484E0,-2.871417046E1,-1.443081379E1
8.433708930E-1,-5.255236626E0,-2.897289467E1,-1.507747459E1
8.458961530E-1,-2.390130758E0,-2.852483940E1,-1.503201103E1
8.484214660E-1,5.347958803E-1,-2.742533684E1,-1.398754406E1
8.509467260E-1,3.617648840E0,-2.567169762E1,-1.175982571E1
8.534719870E-1,6.475576401E0,-2.316850471E1,-8.338987350E0
8.560361010E-1,8.746364594E0,-2.032732773E1,-4.959125042E0
8.585225600E-1,1.008544827E1,-1.748405647E1,-2.537289381E0
8.610478720E-1,1.055982590E1,-1.494945812E1,-7.286145091E-1
8.635731330E-1,1.024128056E1,-1.280070400E1,3.134597540E-1
8.660984450E-1,9.498608589E0,-1.113829041E1,8.093722463E-1
8.686625080E-1,8.504690170E0,-9.861420631E0,1.015454054E0
8.711490180E-1,7.462615490E0,-8.965607643E0,1.139880896E0
8.736742780E-1,6.559325218E0,-8.340482712E0,1.147059321E0
8.761995910E-1,5.651547909E0,-7.858926773E0,1.178166032E0
8.787636530E-1,4.760520458E0,-7.571488857E0,1.080060363E0
8.812501640E-1,3.933800459E0,-7.456334591E0,8.548358679E-1
8.837754240E-1,3.172284603E0,-7.566703320E0,5.793621540E-1
8.863007370E-1,2.316850424E0,-7.861319542E0,1.818545163E-1
8.888259970E-1,1.299003601E0,-8.328517914E0,-4.339981973E-1
8.913513100E-1,1.968096644E-1,-8.836395264E0,-1.123729348E0
8.938765700E-1,-1.000798106E0,-9.396913528E0,-1.933400750E0
8.964018830E-1,-2.028515339E0,-9.835099220E0,-2.618645191E0
8.989271430E-1,-2.663211584E0,-1.028554821E1,-3.183949709E0
9.014524550E-1,-2.802294493E0,-1.062084198E1,-3.648755312E0
9.039777160E-1,-2.560320139E0,-1.097049332E1,-3.873979807E0
9.065030280E-1,-1.879861236E0,-1.123639584E1,-3.981656790E0
9.090282890E-1,-9.553344250E-1,-1.150469112E1,-4.051048756E0
9.115536010E-1,-7.387840003E-2,-1.174187946E1,-4.036691666E0
9.140788620E-1,6.161518097E-1,-1.191446209E1,-3.938585997E0
9.166041740E-1,1.112064362E0,-1.207507992E1,-3.777967930E0
9.191294350E-1,1.380359530E0,-1.221386433E1,-3.574278831E0
9.216547470E-1,1.478465319E0,-1.242473125E1,-3.349353552E0
9.241800080E-1,1.409073472E0,-1.263320637E1,-3.107379198E0
9.267052680E-1,1.296610713E0,-1.287039471E1,-2.939582586E0
9.292305800E-1,1.068993568E0,-1.312911892E1,-2.803191662E0
9.317558930E-1,8.198408484E-1,-1.339741421E1,-2.704786777E0
9.342811530E-1,6.113662124E-1,-1.363908863E1,-2.529811859E0
9.368064660E-1,3.311068416E-1,-1.375663662E1,-2.364706993E0
9.393317260E-1,7.716853172E-2,-1.375902939E1,-2.223231316E0
9.418570390E-1,-1.552343667E-1,-1.372313690E1,-1.998306036E0
9.443822990E-1,-3.421736360E-1,-1.355294704E1,-1.689033628E0
9.469076120E-1,-5.024927258E-1,-1.326072407E1,-1.346560955E0
9.494328720E-1,-6.005984545E-1,-1.285125256E1,-9.945169091E-1
9.519581850E-1,-7.875377536E-1,-1.241037464E1,-7.094719410E-1
9.544834450E-1,-9.601200819E-1,-1.189053345E1,-4.818546474E-1
9.570087050E-1,-1.142273664E0,-1.146401310E1,-4.100699723E-1
9.595340180E-1,-1.338485122E0,-1.103061295E1,-4.268197417E-1
9.620593300E-1,-1.551745534E0,-1.064716339E1,-5.632106066E-1
9.645845910E-1,-1.786541224E0,-1.036211872E1,-8.003991842E-1
9.671098510E-1,-1.959123492E0,-1.008185863E1,-1.056730270E0
9.696351640E-1,-2.109871387E0,-9.854242325E0,-1.418345571E0
9.721992780E-1,-2.251347065E0,-9.590732574E0,-1.730010748E0
9.746857370E-1,-2.359024048E0,-9.447162628E0,-2.015055656E0
9.772109970E-1,-2.402094841E0,-9.310472488E0,-2.237588167E0
9.797363100E-1,-2.435594320E0,-9.186046600E0,-2.443670034E0
9.822615700E-1,-2.574677229E0,-9.032606125E0,-2.644966364E0
9.847868830E-1,-2.610569477E0,-8.903393745E0,-2.750250578E0
9.873121430E-1,-2.629712105E0,-8.737990379E0,-2.853441000E0
9.898374550E-1,-2.783151865E0,-8.589634895E0,-2.930011272E0
