"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.725101840E0,7.800087929E-1,3.006612539E0,-2.300411224E0
1.730152569E0,4.610686302E-1,2.995502472E0,-3.194413185E0
1.735203246E0,5.092620850E-2,2.915866852E0,-4.302090645E0
1.740253715E0,-3.669199944E-1,2.709898949E0,-5.110944271E0
1.745304444E0,-8.329939842E-1,2.397033691E0,-6.320701599E0
1.750355121E0,-1.482748032E0,2.189754486E0,-7.340515614E0
1.755405850E0,-2.347321510E0,1.877168655E0,-9.364286423E0
1.760456580E0,-3.763221264E0,1.562776089E0,-1.110325050E1
1.765507257E0,-5.550554752E0,9.274530411E-1,-1.294890118E1
1.770557673E0,-7.328139305E0,7.627248764E-2,-1.340954399E1
1.775608402E0,-9.447042465E0,-5.476503372E-1,-8.617210388E0
1.780659080E0,-1.014956093E1,-7.474589348E-1,1.817810535E0
1.785709809E0,-7.765478134E0,-1.040468216E0,1.045204163E1
1.790760538E0,-4.012889385E0,-1.856787682E0,1.115608406E1
1.795811215E0,-1.419649124E0,-3.363287449E0,5.330355644E0
1.800861684E0,-7.664713860E-1,-5.082320213E0,-9.430384636E-1
1.805912413E0,-1.140088558E0,-6.283430099E0,-3.879878521E0
1.810963090E0,-1.668371677E0,-7.205688000E0,-3.428870678E0
1.816013819E0,-2.500728130E0,-7.404596806E0,-2.777652740E0
1.821064548E0,-3.513047695E0,-6.864184380E0,-2.840239525E0
1.826115225E0,-4.014486313E0,-5.562862396E0,-1.636261940E-1
1.831205173E0,-3.239146709E0,-3.439927578E0,1.838580132E0
1.836255850E0,-1.853174686E0,-1.149929523E0,8.730630875E-1
1.841306580E0,-1.628170013E-1,1.885738373E-1,-5.320940018E-1
1.846357309E0,1.918103218E0,6.736388206E-1,-1.249191761E0
1.851407986E0,3.883024216E0,9.190425873E-1,1.530036926E-1
1.856458715E0,5.233026505E0,1.083738327E0,2.206517696E0
1.861509132E0,5.812500477E0,1.189927578E0,3.338839293E0
1.866559809E0,5.491089821E0,8.635497093E-1,4.225575447E0
1.871610538E0,4.432696342E0,4.212560654E-1,4.585467339E0
1.876661267E0,3.051278353E0,2.224588394E-2,3.772055626E0
1.881711944E0,1.596880913E0,-2.566633224E-1,2.514160395E0
1.886762673E0,2.956540585E-1,-4.608664513E-1,2.042869091E0
1.891773663E0,-8.482663631E-1,-7.444257736E-1,1.853694916E0
1.896824392E0,-1.661722660E0,-1.042217255E0,1.226276159E0
1.901875069E0,-2.078341722E0,-1.194292068E0,9.764294624E-1
1.906925798E0,-2.274282932E0,-1.161827564E0,1.159628868E0
1.911976527E0,-2.425153732E0,-1.054718018E0,1.025807858E0
1.917027205E0,-2.632336378E0,-8.770446777E-1,4.975528717E-1
1.922077673E0,-2.827954531E0,-7.142415047E-1,1.506328583E-3
1.927128402E0,-2.895238400E0,-4.414234161E-1,-2.446107864E-1
1.932179080E0,-2.760886431E0,-2.123250961E-1,-2.363266945E-1
1.937229809E0,-2.389423847E0,-1.399040222E-3,-5.631208420E-2
1.942280538E0,-1.852783442E0,1.027584076E-2,2.425084114E-1
1.947331215E0,-1.176760197E0,-6.795787811E-2,6.457600594E-1
1.952381684E0,-3.466784954E-1,-3.525457382E-1,1.241442680E0
1.957432413E0,5.375437737E-1,-8.164548874E-1,1.957403183E0
1.962483090E0,1.335492969E0,-1.406690598E0,2.355416775E0
1.967533819E0,2.009300232E0,-2.039536476E0,2.500797510E0
1.972584548E0,2.512877464E0,-2.579269409E0,2.472448826E0
1.977635225E0,2.932061911E0,-2.971638680E0,2.270540237E0
1.982685694E0,3.146502495E0,-3.203208923E0,1.968613386E0
1.987736423E0,3.448313475E0,-3.354723930E0,1.701740980E0
1.992787100E0,3.809442520E0,-3.516139030E0,1.435053349E0
1.997837830E0,3.897510052E0,-3.584954262E0,1.086142778E0
2.002888559E0,4.022151947E0,-3.441073418E0,9.631781578E-1
2.007939236E0,4.085507393E0,-3.168995857E0,8.654811382E-1
2.012989705E0,4.040438652E0,-2.801620483E0,7.959098816E-1
2.018040434E0,3.981022358E0,-2.210162163E0,8.508508205E-1
2.023091111E0,3.723817348E0,-1.654368401E0,9.196634293E-1
2.028141840E0,3.363970041E0,-1.119752884E0,8.312447071E-1
2.033192569E0,3.041409492E0,-7.672739029E-1,8.768291473E-1
2.038243246E0,2.565168619E0,-4.050016403E-1,9.915595055E-1
2.043333194E0,1.992795944E0,-8.630752563E-3,8.129582405E-1
2.048383871E0,1.308638215E0,3.634462357E-1,4.165232182E-1
2.053434600E0,8.853101134E-1,7.069530487E-1,3.164846897E-1
2.058485330E0,5.018579364E-1,9.753370285E-1,4.638638496E-1
2.063536007E0,-4.533815384E-2,1.343088150E0,3.800760508E-1
2.068586736E0,-4.371892214E-1,1.692661762E0,6.520059109E-1
