"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.447672083E0,2.167278714E-2,6.345504522E-2,-1.398015395E-2
3.457617083E0,2.470426448E-2,5.662404373E-2,-1.631015353E-2
3.467562083E0,2.133536525E-2,5.129772052E-2,-1.276841573E-2
3.477508083E0,2.167903073E-2,4.592981562E-2,-1.314253546E-2
3.487453083E0,2.431342937E-2,5.040925369E-2,-1.279765554E-2
3.497398083E0,2.617270872E-2,5.525502563E-2,-1.147582941E-2
3.507344083E0,2.747819014E-2,5.516447872E-2,-7.683488540E-3
3.517289083E0,2.375711873E-2,5.511399359E-2,-6.013819017E-3
3.527234083E0,2.263326384E-2,5.588763952E-2,-6.989867426E-3
3.537180083E0,1.902777329E-2,6.201001629E-2,-1.142822951E-2
3.547125083E0,1.904907823E-2,5.763817206E-2,-1.504906267E-2
3.557070083E0,2.087058686E-2,5.463549495E-2,-1.313593425E-2
3.567016083E0,1.782046817E-2,5.632340908E-2,-1.255323458E-2
3.576961083E0,1.747959480E-2,3.596921265E-2,-3.512679134E-3
3.586906083E0,1.889479905E-2,4.398079962E-2,-8.646987379E-3
3.596852083E0,1.521314215E-2,5.504467338E-2,-5.110779777E-3
3.606797083E0,1.194890495E-2,5.341269076E-2,-6.208002567E-3
3.616742083E0,1.631729864E-2,3.847269714E-2,-6.903431844E-3
3.626687083E0,2.200341411E-2,3.184834868E-2,3.675306216E-4
3.636633083E0,2.046114393E-2,3.061869368E-2,3.588200547E-3
3.646578083E0,2.264493518E-2,2.350112796E-2,3.869963810E-3
3.656523083E0,2.003513090E-2,7.361991331E-3,1.101870183E-2
3.666469083E0,3.312403336E-2,6.465039216E-3,1.152576786E-2
3.676414083E0,2.983897738E-2,2.571581118E-2,8.311785758E-3
3.686359083E0,2.016691118E-2,3.898927569E-2,5.219323561E-3
3.696305083E0,1.973330230E-2,3.530958667E-2,-1.396171283E-3
3.706250083E0,2.358955890E-2,3.221765533E-2,2.649703063E-3
3.716195083E0,2.288580127E-2,3.282561526E-2,2.190895379E-3
3.726141083E0,1.938693970E-2,3.337476030E-2,4.965923727E-4
3.736086083E0,1.469835173E-2,3.000856191E-2,-2.980783582E-3
3.746031083E0,2.060417831E-2,2.946154773E-2,-2.277176362E-3
