"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.126044725E2,-6.582572937E0,4.814086533E1,5.510742188E0
2.126144175E2,-6.697990417E0,4.805511856E1,5.736682892E0
2.126243635E2,-6.724128723E0,4.800164413E1,5.854431152E0
2.126343085E2,-6.863334656E0,4.803123474E1,5.775684357E0
2.126442545E2,-6.885513306E0,4.800267410E1,5.541107178E0
2.126542005E2,-6.876876831E0,4.801179123E1,5.585918427E0
2.126641455E2,-7.075592041E0,4.811568832E1,5.561740875E0
2.126740915E2,-7.095481873E0,4.808322144E1,5.727233887E0
2.126840365E2,-6.901268005E0,4.802932358E1,5.727352142E0
2.126939825E2,-6.931274414E0,4.802126312E1,5.793190002E0
2.127039275E2,-7.078048706E0,4.790538025E1,5.791469574E0
2.127138735E2,-7.112312317E0,4.791023254E1,5.800315857E0
2.127238195E2,-7.241813660E0,4.786678314E1,5.837062836E0
2.127337645E2,-7.323013306E0,4.793676376E1,5.977912903E0
2.127437105E2,-7.265365601E0,4.796848297E1,6.054405212E0
2.127536555E2,-7.213645935E0,4.796649551E1,6.152980804E0
2.127636015E2,-7.187400818E0,4.793605423E1,6.144622803E0
2.127735465E2,-7.232345581E0,4.801555634E1,6.087959290E0
2.127834925E2,-7.238319397E0,4.805221176E1,6.047565460E0
2.127934385E2,-7.222831726E0,4.802248383E1,6.135383606E0
2.128033835E2,-7.153518677E0,4.796837234E1,6.179477692E0
2.128133295E2,-7.133575439E0,4.787971497E1,6.213554382E0
2.128232745E2,-7.083938599E0,4.797305298E1,6.205318451E0
2.128332205E2,-6.957847595E0,4.796512222E1,6.289318085E0
2.128431655E2,-6.969383240E0,4.802873230E1,6.594947815E0
2.128531115E2,-6.978538513E0,4.806422424E1,6.602867126E0
2.128630575E2,-7.014808655E0,4.804365540E1,6.539154053E0
2.128730025E2,-7.095603943E0,4.811525726E1,6.419483185E0
2.128829485E2,-7.263877869E0,4.813183975E1,6.245674133E0
2.128928935E2,-7.275665283E0,4.801375198E1,6.168941498E0
2.129028395E2,-7.237510681E0,4.800492477E1,6.243717194E0
2.129127845E2,-7.173484802E0,4.800852585E1,6.171669006E0
2.129227305E2,-7.057762146E0,4.799449539E1,6.164253235E0
2.129326755E2,-7.041305542E0,4.795002747E1,6.083415985E0
2.129426215E2,-7.036209106E0,4.786530304E1,6.123622894E0
2.129525675E2,-6.943710327E0,4.791737366E1,6.224796295E0
2.129625125E2,-6.929008484E0,4.802334976E1,6.204326630E0
2.129724585E2,-6.862281799E0,4.807208252E1,6.233280182E0
2.129824035E2,-6.976959229E0,4.802206039E1,6.179855347E0
2.129923495E2,-6.976959229E0,4.802206039E1,6.179855347E0
2.130022945E2,-7.092315674E0,4.803194809E1,6.105377197E0
2.130122405E2,-7.181228638E0,4.794933319E1,5.946430206E0
2.130221865E2,-7.235557556E0,4.800020218E1,5.936592102E0
2.130321315E2,-7.179534912E0,4.813729858E1,5.933616638E0
2.130420775E2,-7.234855652E0,4.822045135E1,5.881050110E0
2.130520225E2,-7.216880798E0,4.814070892E1,5.960765839E0
2.130619685E2,-7.333656311E0,4.811397552E1,6.169647217E0
2.130719135E2,-7.335678101E0,4.808673096E1,6.149223328E0
2.130818595E2,-7.344200134E0,4.799784851E1,6.202117920E0
2.130918055E2,-7.325988770E0,4.791027451E1,6.273574829E0
2.131017505E2,-7.296310425E0,4.788226318E1,6.383358002E0
2.131116965E2,-7.191398621E0,4.796816635E1,6.386569977E0
2.131216415E2,-7.244987488E0,4.790740585E1,6.396499634E0
2.131315875E2,-7.262947083E0,4.790263367E1,6.333656311E0
2.131415325E2,-7.215599060E0,4.791607666E1,6.544067383E0
2.131514785E2,-7.157356262E0,4.802745819E1,6.477588654E0
2.131614235E2,-7.203941345E0,4.798313904E1,6.286960602E0
2.131713695E2,-7.154541016E0,4.814941788E1,6.314434052E0
2.131813155E2,-7.091979980E0,4.830598831E1,6.291446686E0
2.131912605E2,-7.175117493E0,4.819997406E1,6.396060944E0
