"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.506112438E1,-1.109115601E1,4.402776337E1,1.817011642E1
5.507106938E1,-1.106214142E1,4.395303726E1,1.846034622E1
5.508101437E1,-1.105673218E1,4.394214249E1,1.833389664E1
5.509095937E1,-1.106745148E1,4.408478928E1,1.802251816E1
5.510090437E1,-1.094140625E1,4.431923676E1,1.771151733E1
5.511084937E1,-1.075140381E1,4.433369446E1,1.748959732E1
5.512079537E1,-1.058833313E1,4.435417175E1,1.750476074E1
5.513074037E1,-1.043631744E1,4.437364578E1,1.744178009E1
5.514068537E1,-1.036920166E1,4.433507538E1,1.745196152E1
5.515063037E1,-1.024883270E1,4.431232071E1,1.763044357E1
5.516057537E1,-1.016550446E1,4.423334122E1,1.771657562E1
5.517052037E1,-1.016550446E1,4.423334122E1,1.771657562E1
5.518046538E1,-1.028990936E1,4.437742996E1,1.775307465E1
5.519041137E1,-1.035107422E1,4.446414185E1,1.751581192E1
5.520035637E1,-1.017752075E1,4.475126648E1,1.700925446E1
5.521030137E1,-9.992645264E0,4.523018265E1,1.643026733E1
5.522024638E1,-9.748680115E0,4.559506989E1,1.579429245E1
5.523019138E1,-9.619033813E0,4.598183823E1,1.480718613E1
5.524013638E1,-9.691474915E0,4.634284592E1,1.386680984E1
5.525008237E1,-9.809165955E0,4.662792969E1,1.304400635E1
5.526002738E1,-9.746543884E0,4.688994598E1,1.252914429E1
5.526997238E1,-9.699043274E0,4.696142960E1,1.219144058E1
5.527991738E1,-9.680793762E0,4.690427017E1,1.200105667E1
5.528986238E1,-9.525527954E0,4.697000504E1,1.181552887E1
5.529980738E1,-9.025703430E0,4.708829880E1,1.184945297E1
5.530975238E1,-8.415328979E0,4.713739014E1,1.182237625E1
5.531969838E1,-7.923759460E0,4.718036652E1,1.184400177E1
5.532964338E1,-7.382301331E0,4.730031586E1,1.183757019E1
5.533958838E1,-6.939819336E0,4.728207016E1,1.185336685E1
5.534953338E1,-6.611328125E0,4.737211990E1,1.189308929E1
5.535947838E1,-6.272270203E0,4.752207947E1,1.192978668E1
5.536942337E1,-6.027526855E0,4.767266464E1,1.188265991E1
5.537936837E1,-5.863044739E0,4.771329880E1,1.171847534E1
5.538931438E1,-5.918601990E0,4.781909943E1,1.117068100E1
5.539925938E1,-5.966865540E0,4.781888580E1,1.061702728E1
5.540920437E1,-6.003425598E0,4.804265976E1,9.812004089E0
5.541914937E1,-5.963706970E0,4.821738434E1,8.980506897E0
5.542909437E1,-6.037254333E0,4.849182892E1,8.346996307E0
5.543903937E1,-5.923545837E0,4.860457611E1,7.715457916E0
5.544898537E1,-5.548011780E0,4.870832825E1,7.383338928E0
5.545893037E1,-5.160774231E0,4.878131104E1,7.039699554E0
5.546887537E1,-4.818183899E0,4.895809555E1,6.764358521E0
5.547882037E1,-4.707717896E0,4.901136780E1,6.689445496E0
5.548876537E1,-4.571815491E0,4.898782349E1,6.631130219E0
5.549871037E1,-4.307304382E0,4.903183746E1,6.674121857E0
5.550865538E1,-4.050140381E0,4.902944183E1,6.910312653E0
5.551860137E1,-3.793716431E0,4.903552628E1,7.059413910E0
5.552854637E1,-3.489990234E0,4.897631454E1,7.305019379E0
5.553849137E1,-3.149368286E0,4.887521362E1,7.693927765E0
5.554843638E1,-2.900192261E0,4.887404633E1,8.061096191E0
5.555838138E1,-2.847961426E0,4.893309784E1,8.400215149E0
5.556832638E1,-2.576187134E0,4.870656204E1,8.935455322E0
5.557827138E1,-2.460845947E0,4.857769775E1,9.558357239E0
5.558821738E1,-2.068527222E0,4.831701279E1,1.022397995E1
5.559816238E1,-1.540748596E0,4.818289185E1,1.126956177E1
5.560810713E1,-9.922943115E-1,4.792669296E1,1.239484024E1
5.561805213E1,-5.233078003E-1,4.769569016E1,1.328897858E1
5.562799713E1,-1.757812500E-1,4.751966095E1,1.405504990E1
5.563794213E1,4.760742188E-2,4.743560410E1,1.471493912E1
5.564788813E1,2.404174805E-1,4.716833878E1,1.517169571E1
5.565783313E1,1.556091309E-1,4.708592224E1,1.548619461E1
5.566777813E1,8.567810059E-2,4.704447556E1,1.544144058E1
5.567772313E1,-1.423492432E-1,4.701274490E1,1.537847900E1
5.568766812E1,-2.380294800E-1,4.715495682E1,1.525514221E1
5.569761312E1,-5.051040649E-1,4.725516129E1,1.514124680E1
5.570755812E1,-7.586212158E-1,4.736526871E1,1.509425735E1
5.571750413E1,-1.128585815E0,4.755782318E1,1.488984299E1
5.572744912E1,-1.565834045E0,4.758939743E1,1.493476868E1
5.573739412E1,-2.150390625E0,4.757268906E1,1.508441925E1
5.574733912E1,-2.557678223E0,4.747320175E1,1.532227707E1
5.575728412E1,-3.031135559E0,4.723085785E1,1.560812759E1
5.576722912E1,-3.349426270E0,4.697550583E1,1.606785583E1
5.577717412E1,-3.747627258E0,4.662085724E1,1.685808945E1
5.578712012E1,-3.925094604E0,4.622097778E1,1.772872162E1
5.579706512E1,-3.936096191E0,4.584801102E1,1.861632156E1
5.580701012E1,-3.839775085E0,4.537334824E1,1.935763931E1
5.581695512E1,-3.843383789E0,4.509836578E1,2.011742401E1
5.582690013E1,-3.735229492E0,4.475743103E1,2.076512146E1
5.583684513E1,-3.623435974E0,4.462542343E1,2.126586151E1
5.584679112E1,-3.544799805E0,4.438065720E1,2.173617554E1
5.585673612E1,-3.371200562E0,4.405009079E1,2.209095764E1
5.586668113E1,-3.201759338E0,4.403857803E1,2.231160355E1
5.587662613E1,-3.037490845E0,4.401245117E1,2.229984665E1
5.588657113E1,-3.042854309E0,4.404633331E1,2.228977585E1
5.589651613E1,-3.153320312E0,4.407440567E1,2.217457581E1
5.590646113E1,-3.515686035E0,4.420727158E1,2.190858841E1
5.591640713E1,-3.794570923E0,4.435242462E1,2.169191742E1
5.592635213E1,-4.177276611E0,4.442734528E1,2.158820343E1
5.593629713E1,-4.740661621E0,4.456191254E1,2.138892746E1
5.594624213E1,-5.389411926E0,4.461252594E1,2.131795883E1
5.595618713E1,-6.156341553E0,4.451869583E1,2.114269638E1
5.596613213E1,-6.990234375E0,4.456941986E1,2.084696579E1
5.597607713E1,-8.012168884E0,4.446869278E1,2.064656448E1
5.598602313E1,-8.889427185E0,4.439823914E1,2.038228989E1
