"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.149452583E0,-1.183250546E0,-1.109538749E-1,8.332024217E-1
3.159397583E0,-9.669689536E-1,-2.935284376E-2,9.138226509E-1
3.169342583E0,-7.906314731E-1,-4.388251528E-2,8.840293288E-1
3.179288583E0,-6.943467855E-1,-1.341634691E-1,7.354360223E-1
3.189233583E0,-6.510717869E-1,-2.400102615E-1,5.098316669E-1
3.199178583E0,-6.293829679E-1,-3.122522533E-1,2.111970186E-1
3.209123583E0,-6.124072075E-1,-4.213180244E-1,-8.905786276E-2
3.219069583E0,-5.654314160E-1,-5.458335876E-1,-4.098920822E-1
3.229014583E0,-4.764563143E-1,-7.268661857E-1,-7.732295394E-1
3.238959583E0,-3.357286751E-1,-8.353593349E-1,-1.091122389E0
3.248905583E0,-1.934485286E-1,-5.982591510E-1,-1.167912841E0
3.258850583E0,-6.513807178E-2,-1.487128884E-1,-9.864463806E-1
3.268795583E0,1.332717761E-2,3.152678311E-1,-7.537395954E-1
3.278740583E0,9.434998035E-2,6.451180577E-1,-6.185101867E-1
3.288686583E0,9.203436226E-2,7.937927246E-1,-5.645747781E-1
3.298631583E0,-3.538613766E-2,7.969076633E-1,-4.620936811E-1
3.308576583E0,-2.353503853E-1,8.018869758E-1,-2.560584843E-1
3.318521583E0,-5.200328231E-1,8.578651547E-1,5.184981227E-2
3.328467583E0,-8.332448006E-1,8.749338984E-1,3.689145744E-1
3.338412583E0,-1.095654964E0,8.197112083E-1,6.356610060E-1
3.348357583E0,-1.234938264E0,7.246565819E-1,8.490931392E-1
3.358302583E0,-1.236092806E0,6.211331487E-1,1.001590371E0
3.368248583E0,-1.101181269E0,5.724279284E-1,1.054322243E0
3.378193583E0,-7.957984805E-1,6.570974588E-1,9.903151393E-1
3.388138583E0,-4.046136737E-1,7.793903947E-1,8.027452826E-1
3.398084583E0,-8.002147824E-2,8.103740215E-1,5.170404315E-1
3.408029583E0,1.617757082E-1,6.823912859E-1,2.001937628E-1
3.417974583E0,3.044011593E-1,4.536475837E-1,-9.907747805E-2
3.427919583E0,3.685540557E-1,1.889440119E-1,-3.447719216E-1
3.437864833E0,3.733485937E-1,-2.683534846E-2,-4.809962809E-1
3.447809833E0,3.351556659E-1,-3.824299946E-2,-5.542750359E-1
3.457754833E0,2.463190109E-1,2.505990863E-1,-5.580576658E-1
3.467699833E0,1.479199976E-1,8.129444122E-1,-5.419609547E-1
3.477645833E0,1.282191426E-1,1.386648178E0,-4.879427850E-1
3.487590833E0,1.592716128E-1,1.849292994E0,-3.930274546E-1
3.497535833E0,1.625023782E-1,2.230121851E0,-3.028978109E-1
3.507480833E0,1.151534989E-1,2.497108221E0,-2.592054605E-1
3.517426833E0,7.250442356E-2,2.609895468E0,-3.517330289E-1
3.527371833E0,2.476719916E-1,2.383594036E0,-6.952837110E-1
3.537316833E0,7.852488756E-1,1.647597551E0,-1.188101172E0
3.547262833E0,1.279660225E0,6.553125381E-1,-1.590730906E0
3.557207833E0,1.180948853E0,4.090900719E-2,-1.728302836E0
3.567152833E0,5.689280629E-1,-1.905409992E-1,-1.649145126E0
3.577097833E0,-1.810933352E-1,-3.116544485E-1,-1.464245677E0
3.587043833E0,-7.703409195E-1,-3.740885258E-1,-1.232089162E0
3.596988833E0,-1.082989335E0,-1.166491956E-1,-8.054715991E-1
3.606933833E0,-1.197697282E0,4.887014329E-1,-1.246538982E-1
3.616878833E0,-1.107411623E0,8.428494930E-1,2.265468985E-1
3.626824833E0,-8.117060661E-1,8.180789351E-1,7.330648601E-2
3.636769833E0,-2.439751923E-1,2.689972818E-1,-2.720347643E-1
3.646714833E0,5.750733018E-1,-7.669166923E-1,-5.812197924E-1
3.656659833E0,1.302536726E0,-1.864042401E0,-7.659630179E-1
3.666605833E0,1.533140063E0,-2.267726898E0,-7.238429785E-1
3.676550833E0,1.294556737E0,-1.928901553E0,-5.338734984E-1
3.686495833E0,8.147948980E-1,-1.296821833E0,-2.474989891E-1
3.696441833E0,2.753163874E-1,-8.306996822E-1,2.872789279E-3
3.706386833E0,-2.363700569E-1,-6.437854767E-1,1.860974729E-1
3.716331833E0,-5.999890566E-1,-7.290169597E-1,2.338761389E-1
3.726276833E0,-5.916762352E-1,-9.209291339E-1,2.204857618E-1
3.736222833E0,-2.379911989E-1,-1.017767549E0,1.571606845E-1
3.746167833E0,3.059740961E-1,-9.936785102E-1,1.012420282E-1
3.756112833E0,9.125593305E-1,-7.337521911E-1,1.699906141E-1
3.766057833E0,1.481756210E0,-2.515679300E-1,4.159985185E-1
3.776003833E0,1.878890276E0,3.406235576E-1,6.937838793E-1
3.785948833E0,1.921759367E0,1.118770242E0,7.654612660E-1
3.795893833E0,1.547406316E0,1.908952236E0,6.437553763E-1
