"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.764987826E0,1.218905449E0,-1.490831375E0,2.865311861E0
1.770039336E0,7.009499073E-1,-2.904415131E-1,2.723633289E0
1.775089492E0,2.343771458E-1,8.476567268E-1,2.516566515E0
1.780139701E0,-1.511087418E-1,1.819322586E0,2.263127804E0
1.785189909E0,-5.730669498E-1,2.523527622E0,1.973472118E0
1.790240065E0,-1.059417009E0,2.799705505E0,1.420388222E0
1.795290274E0,-1.535888910E0,2.712225914E0,7.371463776E-1
1.800341836E0,-1.913490534E0,2.271415234E0,1.889076233E-1
1.805391992E0,-2.033504248E0,1.488756180E0,-6.071949005E-2
1.810442201E0,-1.905365229E0,6.078372002E-1,-3.950691223E-2
1.815492409E0,-1.514704227E0,-2.264251709E-1,7.330131531E-2
1.820542565E0,-8.805739880E-1,-8.540368080E-1,5.014314651E-1
1.825592774E0,-3.156583309E-1,-1.157025814E0,9.982786179E-1
1.830644336E0,7.212805748E-2,-1.237464428E0,1.434638977E0
1.835694492E0,3.418529034E-1,-1.234029293E0,1.970151901E0
1.840744701E0,4.808712006E-1,-1.137283325E0,2.402509689E0
1.845794909E0,4.740726948E-1,-9.857306480E-1,2.742776632E0
1.850845065E0,5.141608715E-1,-7.209529877E-1,3.111765385E0
1.855895274E0,6.538553238E-1,-5.149917603E-1,3.570968628E0
1.860986263E0,6.263685226E-1,-2.765231133E-1,3.848572969E0
1.866036472E0,4.316363335E-1,1.207604408E-1,4.065502644E0
1.871086680E0,2.229156494E-1,4.926061630E-1,4.246773720E0
1.876136836E0,-5.190420151E-2,8.208136559E-1,4.291025639E0
1.881187044E0,-4.044048786E-1,1.127871037E0,4.173691273E0
1.886237201E0,-7.310621738E-1,1.420562267E0,4.073220253E0
1.891249336E0,-9.447240829E-1,1.763649464E0,4.017403603E0
1.896299492E0,-1.013321161E0,2.035662174E0,3.994413376E0
1.901349701E0,-9.747059345E-1,2.430731773E0,3.839649439E0
1.906399909E0,-9.617135525E-1,2.813138962E0,3.451036453E0
1.911450065E0,-8.898556232E-1,3.168006420E0,2.963769913E0
1.916500274E0,-8.229103088E-1,3.555771351E0,2.468437672E0
1.921551836E0,-7.218666077E-1,3.978462696E0,1.955932140E0
1.926601992E0,-5.489041805E-1,4.411428452E0,1.434460163E0
1.931652201E0,-3.048849106E-1,4.740897655E0,9.453244209E-1
1.936702409E0,-3.713011742E-2,5.067041397E0,5.670003891E-1
1.941752617E0,2.635626793E-1,5.305827141E0,1.602411270E-1
1.946802774E0,6.018214226E-1,5.523881912E0,-1.473999023E-1
1.951854336E0,9.405250549E-1,5.643292427E0,-3.651509285E-1
1.956904492E0,1.362430930E0,5.673499584E0,-4.389677048E-1
1.961954701E0,1.762285709E0,5.566817284E0,-4.441733360E-1
1.967004909E0,2.107915878E0,5.525295734E0,-4.820299149E-1
1.972055065E0,2.310257435E0,5.443458557E0,-3.742113113E-1
1.977105274E0,2.557995796E0,5.439456940E0,-1.938748360E-1
1.982156836E0,2.764387608E0,5.325396061E0,6.127452850E-2
1.987206992E0,2.935818911E0,5.142177582E0,2.883284092E-1
1.992257201E0,3.120067120E0,4.956913948E0,5.269746780E-1
1.997307409E0,3.225965023E0,4.736383438E0,7.174274921E-1
2.002357565E0,3.258081913E0,4.390089035E0,9.207785130E-1
2.007407774E0,3.217142344E0,4.069365978E0,1.153281212E0
2.012459336E0,3.023593664E0,3.701867104E0,1.251823664E0
2.017509492E0,2.820097923E0,3.305040359E0,1.382252932E0
2.022559701E0,2.535763979E0,2.815109253E0,1.438158274E0
2.027609909E0,2.279559374E0,2.383440018E0,1.423798323E0
2.032660065E0,2.026515245E0,1.909935951E0,1.328149319E0
2.037710274E0,1.691155910E0,1.435584068E0,1.104372978E0
2.042761836E0,1.195430517E0,9.759006500E-1,8.437077999E-1
2.047811992E0,7.810398340E-1,3.741970062E-1,5.582225323E-1
2.052862201E0,4.670047760E-1,-9.359169006E-2,2.174358368E-1
2.057912409E0,1.510515213E-1,-5.333728790E-1,-5.518078804E-2
2.062962565E0,-2.835083008E-2,-1.008955956E0,-2.262873650E-1
2.068012774E0,-7.208490372E-2,-1.307908058E0,-3.533709049E-1
2.073064336E0,-5.476641655E-2,-1.410721779E0,-4.495689869E-1
2.078114492E0,-6.502628326E-3,-1.235771179E0,-4.874777794E-1
2.083164701E0,1.541336775E-1,-8.069190979E-1,-4.644527435E-1
2.088214909E0,4.009015560E-1,-1.777153015E-1,-4.557163715E-1
