"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.113187513E0,-1.949559975E1,2.784039879E1,2.827960014E1
3.123187513E0,-1.934919930E1,2.796239853E1,2.816979980E1
3.133187513E0,-1.922719955E1,2.805999947E1,2.807219887E1
3.143187513E0,-1.927599907E1,2.847480011E1,2.780379868E1
3.153187513E0,-1.932480049E1,2.888959885E1,2.755979919E1
3.163187513E0,-1.955660057E1,2.930439949E1,2.729139900E1
3.173187513E0,-1.967860031E1,2.979240036E1,2.681559944E1
3.183187513E0,-1.981279945E1,3.030480003E1,2.638859940E1
3.193187513E0,-2.010560036E1,3.086599922E1,2.593719864E1
3.203187513E0,-2.037400055E1,3.145159912E1,2.543700027E1
3.213187513E0,-2.064239883E1,3.204940033E1,2.485140038E1
3.223187513E0,-2.082539940E1,3.248859787E1,2.438780022E1
3.233187513E0,-2.116699982E1,3.295219803E1,2.376560020E1
3.243187513E0,-2.138660049E1,3.347679901E1,2.313119888E1
3.253187513E0,-2.166720009E1,3.394039917E1,2.259440041E1
3.263187513E0,-2.195999908E1,3.441619873E1,2.205760002E1
3.273187513E0,-2.225279999E1,3.474559784E1,2.164279938E1
3.283187513E0,-2.246019936E1,3.512379837E1,2.120359993E1
3.293187513E0,-2.267980003E1,3.547760010E1,2.072780037E1
3.303187513E0,-2.282620049E1,3.579479980E1,2.022760010E1
3.313187513E0,-2.292379951E1,3.612419891E1,1.978839874E1
3.323187513E0,-2.309459877E1,3.636819839E1,1.937360001E1
3.333187513E0,-2.325319862E1,3.658779907E1,1.904419899E1
3.343187513E0,-2.339959908E1,3.677079773E1,1.858059883E1
3.353187513E0,-2.347279930E1,3.703919983E1,1.819019890E1
3.363187513E0,-2.364360046E1,3.728319931E1,1.779979897E1
3.373187513E0,-2.360700035E1,3.747840118E1,1.734840012E1
3.383187513E0,-2.366799927E1,3.758819962E1,1.694579887E1
3.393187513E0,-2.374119949E1,3.773460007E1,1.661639977E1
3.403187513E0,-2.382659912E1,3.789319992E1,1.618939972E1
3.413187513E0,-2.382659912E1,3.807619858E1,1.568919945E1
3.423187513E0,-2.385099983E1,3.827140045E1,1.529879951E1
3.433187513E0,-2.386319923E1,3.841780090E1,1.473759937E1
3.443187513E0,-2.378999901E1,3.855199814E1,1.422519970E1
3.453187513E0,-2.391199875E1,3.869839859E1,1.388359928E1
3.463187513E0,-2.403400040E1,3.885699844E1,1.342000008E1
3.473187513E0,-2.410719872E1,3.901559830E1,1.289540005E1
3.483187513E0,-2.413159943E1,3.916199875E1,1.243179989E1
3.493187513E0,-2.420479965E1,3.927180099E1,1.210239983E1
3.503187513E0,-2.421699905E1,3.930839920E1,1.204139996E1
3.513187513E0,-2.420479965E1,3.934499741E1,1.224879932E1
3.523187513E0,-2.419260025E1,3.932059860E1,1.252939987E1
3.533187513E0,-2.413159943E1,3.929619980E1,1.285879993E1
3.543187513E0,-2.404619980E1,3.929619980E1,1.327359962E1
3.553187513E0,-2.398519897E1,3.924739838E1,1.374940014E1
3.563187513E0,-2.397299957E1,3.916199875E1,1.429839993E1
3.573187513E0,-2.370459938E1,3.894239807E1,1.523779964E1
3.583187513E0,-2.338739967E1,3.867399979E1,1.599419975E1
3.593187513E0,-2.271640015E1,3.902779770E1,1.739719963E1
3.603187513E0,-2.254559898E1,3.871059799E1,1.829999924E1
3.613187513E0,-2.255780029E1,3.847879791E1,1.908079910E1
3.623187513E0,-2.258219910E1,3.828359985E1,1.989819908E1
3.633187513E0,-2.258219910E1,3.807619858E1,2.083759880E1
3.643187513E0,-2.254559898E1,3.796640015E1,2.163059998E1
3.653187513E0,-2.282620049E1,3.796640015E1,2.195999908E1
3.663187513E0,-2.328979874E1,3.806399918E1,2.215519905E1
3.673187513E0,-2.361919975E1,3.825920105E1,2.239920044E1
3.683187513E0,-2.383880043E1,3.851539993E1,2.235039902E1
3.693187513E0,-2.387539864E1,3.867399979E1,2.232600021E1
3.703187513E0,-2.380220032E1,3.885699844E1,2.220400047E1
3.713187513E0,-2.364360046E1,3.897900009E1,2.198439980E1
3.723187513E0,-2.344840050E1,3.911320114E1,2.178919983E1
3.733187513E0,-2.319219971E1,3.929619980E1,2.160619926E1
3.743187513E0,-2.281399918E1,3.951580048E1,2.132559967E1
3.753187513E0,-2.105719948E1,3.880820084E1,2.220400047E1
3.763187513E0,-2.078879929E1,3.901559830E1,2.186240005E1
3.773187513E0,-2.053260040E1,3.916199875E1,2.143540001E1
3.783187513E0,-2.030080032E1,3.933279800E1,2.104500008E1
3.793187513E0,-2.014220047E1,3.954019928E1,2.077659988E1
3.803187513E0,-2.000799942E1,3.973539734E1,2.044719887E1
3.813187513E0,-1.992259979E1,3.993059921E1,2.009339905E1
3.823187513E0,-1.976399994E1,4.011359787E1,1.987380028E1
3.833187513E0,-1.967860031E1,4.033319855E1,1.976399994E1
3.843187513E0,-1.953219986E1,4.049179840E1,1.953219986E1
3.853187513E0,-1.930039978E1,4.067480087E1,1.953219986E1
3.863187513E0,-1.916619873E1,4.080899811E1,1.947119904E1
3.873187513E0,-1.886120033E1,4.088219833E1,1.937360001E1
3.883187513E0,-1.850740051E1,4.094319916E1,1.947119904E1
3.893187513E0,-1.808040047E1,4.089439774E1,1.965419960E1
3.903187513E0,-1.764119911E1,4.084560013E1,1.995919991E1
3.913187513E0,-1.707999992E1,4.063819885E1,2.041059875E1
3.923187513E0,-1.651879883E1,4.038199997E1,2.094739914E1
3.933187513E0,-1.595759964E1,4.011359787E1,2.154520035E1
3.943187513E0,-1.532319927E1,3.984519958E1,2.228940010E1
3.953187513E0,-1.477419949E1,3.961339951E1,2.302140045E1
3.963187513E0,-1.421299934E1,3.928400040E1,2.388759995E1
3.973187513E0,-1.278559971E1,4.046739960E1,2.382659912E1
3.983187513E0,-1.228539944E1,4.017459869E1,2.442440033E1
3.993187513E0,-1.174860001E1,3.994279861E1,2.479039955E1
4.003187513E0,-1.116300011E1,3.969879913E1,2.529059982E1
4.013187513E0,-1.055299950E1,3.943040085E1,2.544919968E1
4.023187513E0,-9.881999969E0,3.919860077E1,2.568099976E1
4.033187513E0,-9.223199844E0,3.897900009E1,2.570539856E1
4.043187513E0,-8.539999962E0,3.878379822E1,2.564439964E1
4.053187513E0,-7.844599724E0,3.869839859E1,2.569319916E1
4.063187513E0,-7.185800076E0,3.852759933E1,2.570539856E1
4.073187513E0,-6.661200047E0,3.836899948E1,2.576639938E1
4.083187513E0,-6.148799896E0,3.824699783E1,2.572979927E1
4.093187513E0,-5.599800110E0,3.822259903E1,2.590060043E1
4.103187513E0,-5.111799717E0,3.808839798E1,2.609580040E1
4.113187513E0,-4.635999680E0,3.790539932E1,2.637639999E1
