"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.113246634E0,-1.836100006E1,2.710840034E1,1.754360008E1
2.123246634E0,-1.819019890E1,2.726700020E1,1.797060013E1
2.133246634E0,-1.803159904E1,2.738899994E1,1.822679901E1
2.143246634E0,-1.793400002E1,2.753540039E1,1.851959991E1
2.153246634E0,-1.767779922E1,2.765740013E1,1.882460022E1
2.163246634E0,-1.754360008E1,2.780379868E1,1.906859970E1
2.173246634E0,-1.742160034E1,2.793799973E1,1.939799881E1
2.183246634E0,-1.717759895E1,2.808440018E1,1.967860031E1
2.193246634E0,-1.694579887E1,2.824300003E1,1.999580002E1
2.203246634E0,-1.671399879E1,2.842599869E1,2.023979950E1
2.213246634E0,-1.642119980E1,2.858459854E1,2.056920052E1
2.223246634E0,-1.609179878E1,2.876759911E1,2.094739914E1
2.233246634E0,-1.584779930E1,2.890180016E1,2.121579933E1
2.243246634E0,-1.553059959E1,2.904819870E1,2.153299904E1
2.253246634E0,-1.523779964E1,2.920679855E1,2.175259972E1
2.263246634E0,-1.498159981E1,2.927999878E1,2.195999908E1
2.273246634E0,-1.467659950E1,2.941419983E1,2.226499939E1
2.283246634E0,-1.448139954E1,2.947519875E1,2.246019936E1
2.293246634E0,-1.422519970E1,2.958499908E1,2.275300026E1
2.303246634E0,-1.398119926E1,2.973139954E1,2.307019997E1
2.313246634E0,-1.371280003E1,2.988999939E1,2.360700035E1
2.323246634E0,-1.348099995E1,2.997539902E1,2.405839920E1
2.333246634E0,-1.321259975E1,3.006079865E1,2.457079887E1
2.343246634E0,-1.302960014E1,3.017059898E1,2.527840042E1
2.353246634E0,-1.289540005E1,3.026819992E1,2.602260017E1
2.363246634E0,-1.272459984E1,3.034140015E1,2.677899933E1
2.373246634E0,-1.259039974E1,3.036579895E1,2.752319908E1
2.383246634E0,-1.252939987E1,3.031699944E1,2.821859932E1
2.393246634E0,-1.246840000E1,3.032919884E1,2.890180016E1
2.403246634E0,-1.233419991E1,3.041459846E1,2.954839897E1
2.413246634E0,-1.221220016E1,3.040239906E1,3.026819992E1
2.423246634E0,-1.211460018E1,3.039019966E1,3.096360016E1
2.433246634E0,-1.200479984E1,3.040239906E1,3.153699875E1
2.443246634E0,-1.180959988E1,3.040239906E1,3.217139816E1
2.453246634E0,-1.157779980E1,3.041459846E1,3.284239960E1
2.463246634E0,-1.127279949E1,3.046339989E1,3.357439804E1
2.473246634E0,-1.104099941E1,3.043899918E1,3.414780045E1
2.483246634E0,-1.077260017E1,3.037800026E1,3.484320068E1
2.493246634E0,-1.049199963E1,3.039019966E1,3.550199890E1
2.503246634E0,-1.017479992E1,3.040239906E1,3.602659988E1
2.513246634E0,-9.894199371E0,3.040239906E1,3.652679825E1
2.523246634E0,-9.650199890E0,3.042679977E1,3.699039841E1
2.533246634E0,-9.515999794E0,3.048779869E1,3.740520096E1
2.543246634E0,-9.430600166E0,3.045119858E1,3.763700104E1
2.553246634E0,-9.247599602E0,3.047559929E1,3.783219910E1
2.563246634E0,-9.137800217E0,3.053660011E1,3.788100052E1
2.573246634E0,-9.174399376E0,3.057320023E1,3.768579865E1
2.583246634E0,-9.210999489E0,3.060980034E1,3.752719879E1
2.593246634E0,-9.284199715E0,3.060980034E1,3.735639954E1
2.603246634E0,-9.394000053E0,3.063419914E1,3.719779968E1
2.613246634E0,-9.552599907E0,3.060980034E1,3.702700043E1
2.623246634E0,-9.674599648E0,3.059759903E1,3.692939758E1
2.633246634E0,-9.918600082E0,3.053660011E1,3.686840057E1
