"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.183810500E0,-1.355539680E0,-3.409174085E-1,3.269409895E0
3.193754500E0,-2.287023306E0,-4.982968569E-1,4.319200516E0
3.203699500E0,-2.736080170E0,-5.731801987E-1,4.940589905E0
3.213643500E0,-2.763985395E0,-5.548880100E-1,4.960330963E0
3.223587500E0,-2.607137442E0,-3.556928933E-1,4.398000240E0
3.233531500E0,-2.414225340E0,5.423888192E-2,3.470349073E0
3.243476500E0,-2.188605547E0,5.031836629E-1,2.519634247E0
3.253420500E0,-1.890852332E0,8.317630887E-1,2.060708523E0
3.263364500E0,-1.562463760E0,1.189927936E0,2.311012030E0
3.273308500E0,-1.424780488E0,2.368085623E0,3.126543522E0
3.283253500E0,-8.788787127E-1,4.329483509E0,4.417203426E0
3.293197500E0,-8.288763762E-1,5.327287674E0,5.473865509E0
3.303141500E0,-2.304335594E0,2.675409079E0,6.402699947E0
3.313085500E0,-3.167864084E0,-2.426100492E0,6.360955715E0
3.323029500E0,-1.974240303E0,-4.541033268E0,5.744788647E0
3.332974500E0,-9.803975821E-1,-4.219229221E0,5.285251617E0
3.342918500E0,-6.115790606E-1,-2.384415388E0,5.038094521E0
3.352862500E0,-6.005381942E-1,-6.189434528E-1,4.805575848E0
3.362806500E0,-6.408877373E-1,5.390181541E-1,4.357989788E0
3.372751500E0,-5.009632707E-1,9.642340541E-1,3.624165773E0
3.382695500E0,-3.757541254E-2,7.391026616E-1,2.760562181E0
3.392639500E0,5.475274920E-1,5.529856682E-1,2.027851820E0
3.402583500E0,1.099851727E0,6.680232882E-1,1.235164523E0
3.412527500E0,1.427891493E0,1.084983706E0,3.595466316E-1
3.422472500E0,1.658397436E0,1.258366108E0,-4.772630632E-1
3.432416500E0,1.672543645E0,1.336638808E0,-1.476164341E0
3.442360500E0,1.551991582E0,1.294469237E0,-2.484166384E0
3.452304500E0,1.308677793E0,1.002016068E0,-3.327840805E0
3.462249500E0,8.981603384E-1,8.265606761E-1,-3.969847918E0
3.472193500E0,5.684030429E-2,9.718163610E-1,-4.410281181E0
3.482137500E0,-9.098381400E-1,1.021927834E0,-4.670270443E0
3.492081500E0,-1.379444957E0,8.290148973E-1,-4.725070000E0
3.502026500E0,-1.223155141E0,5.330109596E-1,-4.512211323E0
3.511970500E0,-6.097032428E-1,2.667519748E-1,-3.901300430E0
3.521914500E0,2.766305506E-1,1.006676555E-1,-2.824728251E0
3.531858500E0,1.227890491E0,-9.088268131E-2,-1.428915620E0
3.541802500E0,1.854200125E0,-3.059952557E-1,-8.710350096E-2
