"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.271477596E1,-1.666532135E1,4.177547073E1,-2.177440262E1
8.272471996E1,-1.672458649E1,4.191262817E1,-2.164815140E1
8.273466396E1,-1.675682831E1,4.199883270E1,-2.121419907E1
8.274460696E1,-1.665495300E1,4.223694992E1,-2.085087967E1
8.275455096E1,-1.654156494E1,4.243177032E1,-2.032551193E1
8.276449496E1,-1.653041077E1,4.252021790E1,-1.989291000E1
8.277443796E1,-1.639076233E1,4.269819260E1,-1.954595566E1
8.278438196E1,-1.636670685E1,4.274837494E1,-1.920776749E1
8.279432596E1,-1.636670685E1,4.274837494E1,-1.920776749E1
8.280426896E1,-1.614055634E1,4.290916061E1,-1.897264481E1
8.281421296E1,-1.559998322E1,4.320980072E1,-1.931137466E1
8.282415696E1,-1.469285583E1,4.316928482E1,-2.014945602E1
8.283410096E1,-1.412966919E1,4.295800400E1,-2.138369370E1
8.284404396E1,-1.385650635E1,4.237886047E1,-2.254942703E1
8.285398796E1,-1.361896515E1,4.190220261E1,-2.333407211E1
8.286393196E1,-1.328966522E1,4.206117630E1,-2.335244370E1
8.287387496E1,-1.276760101E1,4.235753250E1,-2.282532120E1
8.288381896E1,-1.252011871E1,4.286613846E1,-2.162464523E1
8.289376296E1,-1.267070007E1,4.333068848E1,-2.041377640E1
8.290370596E1,-1.318013000E1,4.371963501E1,-1.933321762E1
8.291365054E1,-1.384826660E1,4.404437637E1,-1.825859451E1
8.292359454E1,-1.432883453E1,4.407433701E1,-1.729652786E1
8.293353754E1,-1.486251068E1,4.418481064E1,-1.635964584E1
8.294348154E1,-1.519577789E1,4.425239563E1,-1.573110580E1
8.295342554E1,-1.552199554E1,4.425671768E1,-1.519457626E1
8.296336854E1,-1.578133392E1,4.435297394E1,-1.461626816E1
8.297331254E1,-1.592586517E1,4.450514984E1,-1.430801010E1
8.298325654E1,-1.581795502E1,4.460890961E1,-1.402584457E1
8.299320054E1,-1.562360382E1,4.461094666E1,-1.398512650E1
8.300314354E1,-1.517214203E1,4.478241348E1,-1.406932449E1
8.301308754E1,-1.484311676E1,4.488277435E1,-1.419962692E1
8.302303154E1,-1.459944153E1,4.502867126E1,-1.420020676E1
8.303297454E1,-1.439687347E1,4.511664200E1,-1.437722397E1
8.304291854E1,-1.423643494E1,4.515327454E1,-1.452583694E1
8.305286254E1,-1.392460632E1,4.510092163E1,-1.461757278E1
8.306280554E1,-1.385266876E1,4.500695801E1,-1.476400375E1
8.307274954E1,-1.389366150E1,4.504357910E1,-1.486034775E1
8.308269354E1,-1.389943695E1,4.504533768E1,-1.492061234E1
8.309263654E1,-1.375379944E1,4.504954910E1,-1.480358505E1
8.310258054E1,-1.375909424E1,4.504843140E1,-1.484637833E1
8.311252454E1,-1.397000122E1,4.508277512E1,-1.480090714E1
8.312246754E1,-1.466257477E1,4.483032227E1,-1.509612656E1
8.313241154E1,-1.588671875E1,4.430067825E1,-1.528505325E1
8.314235554E1,-1.740341949E1,4.358412933E1,-1.545248795E1
8.315229854E1,-1.876725006E1,4.280472183E1,-1.603364182E1
8.316224254E1,-1.964866638E1,4.224801636E1,-1.677846909E1
8.317218654E1,-1.951338196E1,4.194445419E1,-1.797821426E1
8.318212954E1,-1.830131531E1,4.182992554E1,-1.932788467E1
8.319207354E1,-1.592285919E1,4.196110153E1,-2.123311996E1
8.320201754E1,-1.310762024E1,4.206466675E1,-2.293772507E1
8.321196154E1,-1.030078888E1,4.203605652E1,-2.446580887E1
8.322190454E1,-8.377258301E0,4.203837204E1,-2.550724411E1
8.323184854E1,-7.748336792E0,4.180006790E1,-2.619088364E1
8.324179254E1,-8.396659851E0,4.159588242E1,-2.638927078E1
8.325173554E1,-9.535202026E0,4.148987961E1,-2.627609634E1
8.326167954E1,-1.032116699E1,4.169179535E1,-2.599113083E1
8.327162354E1,-1.075037384E1,4.184879303E1,-2.548936844E1
8.328156654E1,-1.106938934E1,4.197865677E1,-2.483778763E1
8.329151054E1,-1.141331482E1,4.223165512E1,-2.425146103E1
8.330145454E1,-1.167336273E1,4.229464340E1,-2.377923203E1
8.331139754E1,-1.187458038E1,4.237225723E1,-2.343140793E1
8.332134154E1,-1.218936920E1,4.237012482E1,-2.325053024E1
8.333128554E1,-1.259611511E1,4.241966629E1,-2.296683121E1
8.334122854E1,-1.273786926E1,4.262975311E1,-2.250910568E1
8.335117254E1,-1.284030151E1,4.280394363E1,-2.204466629E1
8.336111654E1,-1.283805084E1,4.324338531E1,-2.137211227E1
8.337105954E1,-1.286174774E1,4.355842590E1,-2.064580917E1
8.338100354E1,-1.290941620E1,4.386877823E1,-1.997218704E1
8.339094754E1,-1.273298645E1,4.427661896E1,-1.937122726E1
8.340089154E1,-1.250959778E1,4.466299438E1,-1.881934738E1
8.341083454E1,-1.217584229E1,4.499992752E1,-1.821657944E1
8.342077854E1,-1.203376770E1,4.521264648E1,-1.766915512E1
8.343072254E1,-1.174232483E1,4.525765228E1,-1.722900772E1
8.344066554E1,-1.150174713E1,4.532538986E1,-1.702637863E1
8.345060954E1,-1.097183228E1,4.542340851E1,-1.724007034E1
8.346055354E1,-1.032128143E1,4.522689438E1,-1.815435410E1
8.347049654E1,-9.693199158E0,4.478248596E1,-1.981184769E1
8.348044054E1,-9.506347656E0,4.403030777E1,-2.194668198E1
8.349038454E1,-1.010401154E1,4.321976089E1,-2.357287979E1
8.350032754E1,-1.080617523E1,4.287448502E1,-2.392795181E1
8.351027154E1,-1.154642487E1,4.301843262E1,-2.290293503E1
8.352021554E1,-1.221665955E1,4.358092117E1,-2.105636215E1
8.353015854E1,-1.272470856E1,4.416537094E1,-1.912772751E1
8.354010254E1,-1.309699249E1,4.444099045E1,-1.756440353E1
8.355004654E1,-1.345458221E1,4.484966660E1,-1.619890976E1
8.355998954E1,-1.378131104E1,4.510724258E1,-1.516891098E1
8.356993354E1,-1.380824280E1,4.532399750E1,-1.448488235E1
8.357987754E1,-1.388990784E1,4.550858307E1,-1.360702133E1
8.358982154E1,-1.397153473E1,4.562100220E1,-1.283185196E1
8.359976454E1,-1.390357971E1,4.576900101E1,-1.232430649E1
8.360970854E1,-1.386224365E1,4.596236420E1,-1.187188339E1
8.361965254E1,-1.362999725E1,4.626388931E1,-1.164368820E1
8.362959554E1,-1.336295319E1,4.628185654E1,-1.162461472E1
8.363953954E1,-1.293256378E1,4.648410034E1,-1.174067307E1
8.364948354E1,-1.254703522E1,4.655466080E1,-1.200317764E1
8.365942654E1,-1.204220581E1,4.650583267E1,-1.230063248E1
8.366937054E1,-1.149356079E1,4.658262253E1,-1.267593002E1
8.367931454E1,-1.108135223E1,4.668516922E1,-1.307693100E1
8.368925754E1,-1.096379089E1,4.673545837E1,-1.312543869E1
8.369920154E1,-1.088488770E1,4.659517670E1,-1.328046799E1
8.370914554E1,-1.088661957E1,4.652397537E1,-1.341434097E1
8.371908854E1,-1.073610687E1,4.646829224E1,-1.355017471E1
8.372903254E1,-1.067083740E1,4.646947098E1,-1.375062943E1
8.373897654E1,-1.075208282E1,4.619149399E1,-1.380106735E1
8.374892054E1,-1.075208282E1,4.619149399E1,-1.380106735E1
8.375886354E1,-1.116042328E1,4.617516708E1,-1.375073624E1
8.376880754E1,-1.172703552E1,4.598906326E1,-1.381775284E1
8.377875154E1,-1.294750977E1,4.566471481E1,-1.418580246E1
8.378869454E1,-1.476377869E1,4.493085861E1,-1.446375656E1
8.379863854E1,-1.651396942E1,4.414188385E1,-1.475080490E1
8.380858254E1,-1.786190033E1,4.328128433E1,-1.577433395E1
8.381852554E1,-1.819487762E1,4.286982346E1,-1.730345535E1
8.382846954E1,-1.734613037E1,4.264553452E1,-1.913992691E1
8.383841354E1,-1.525321960E1,4.266860199E1,-2.096467972E1
8.384835654E1,-1.247446442E1,4.272774124E1,-2.278889084E1
8.385830054E1,-9.538986206E0,4.273228073E1,-2.417795944E1
8.386824454E1,-7.300872803E0,4.269763565E1,-2.505712509E1
8.387818754E1,-6.463859558E0,4.254735184E1,-2.560586166E1
8.388813154E1,-7.067413330E0,4.240028763E1,-2.586445999E1
8.389807554E1,-8.106811523E0,4.212523651E1,-2.574653244E1
8.390801954E1,-8.992828369E0,4.212837601E1,-2.558100510E1
8.391796242E1,-9.184150696E0,4.240559387E1,-2.506807327E1
8.392790642E1,-9.248954773E0,4.271360016E1,-2.444076920E1
8.393785042E1,-9.520812988E0,4.283914948E1,-2.384218216E1
8.394779342E1,-9.930053711E0,4.290348434E1,-2.331896591E1
8.395773742E1,-1.015650940E1,4.297935486E1,-2.302296066E1
8.396768142E1,-1.055150604E1,4.300391388E1,-2.305955887E1
8.397762442E1,-1.079698944E1,4.305274582E1,-2.314440536E1
8.398756842E1,-1.097764587E1,4.306284714E1,-2.292199326E1
8.399751242E1,-1.102292633E1,4.313786316E1,-2.267933273E1
8.400745542E1,-1.112889099E1,4.329808807E1,-2.225684738E1
8.401739942E1,-1.097193909E1,4.357434464E1,-2.172873306E1
8.402734342E1,-1.095746613E1,4.381797791E1,-2.108749008E1
8.403728642E1,-1.102247620E1,4.418703461E1,-2.025871658E1
8.404723042E1,-1.089252472E1,4.430945206E1,-1.966341782E1
8.405717442E1,-1.074306488E1,4.463070679E1,-1.917357254E1
8.406711842E1,-1.079340363E1,4.476132584E1,-1.869768143E1
8.407706142E1,-1.065032959E1,4.492098236E1,-1.846793747E1
8.408700542E1,-1.049141693E1,4.511636353E1,-1.829704666E1
8.409694942E1,-1.030627441E1,4.515456772E1,-1.821852493E1
8.410689242E1,-9.746131897E0,4.506965637E1,-1.856612015E1
8.411683642E1,-9.179862976E0,4.482398224E1,-1.962414932E1
8.412678042E1,-9.002395630E0,4.421821594E1,-2.140027237E1
8.413672342E1,-9.581268311E0,4.333451080E1,-2.297012711E1
8.414666742E1,-1.069752502E1,4.277458191E1,-2.355446243E1
8.415661142E1,-1.186711884E1,4.277926636E1,-2.292879868E1
8.416655442E1,-1.280793762E1,4.321300125E1,-2.125539017E1
8.417649842E1,-1.359012604E1,4.364225006E1,-1.918355942E1
8.418644242E1,-1.417939758E1,4.413829041E1,-1.751049423E1
8.419638642E1,-1.442828369E1,4.451730347E1,-1.628759384E1
8.420632942E1,-1.451004791E1,4.487060928E1,-1.522325516E1
8.421627342E1,-1.480773163E1,4.509918976E1,-1.431934738E1
8.422621742E1,-1.505199432E1,4.517080307E1,-1.363812637E1
8.423616042E1,-1.531465912E1,4.534000397E1,-1.275361252E1
8.424610442E1,-1.550421906E1,4.547861099E1,-1.221126175E1
8.425604842E1,-1.538307953E1,4.554759598E1,-1.177796555E1
8.426599142E1,-1.519569397E1,4.556765747E1,-1.129420090E1
8.427593542E1,-1.480571747E1,4.554602051E1,-1.113527298E1
8.428587942E1,-1.439623260E1,4.563909149E1,-1.117397690E1
8.429582242E1,-1.404315186E1,4.577913666E1,-1.151211166E1
8.430576642E1,-1.366261292E1,4.588875961E1,-1.198799515E1
